Time,Battery_%,Load_%
17:30:25,100,16
17:30:26,98,24
17:30:27,100,19
17:30:28,97,16
17:30:29,100,16
17:30:30,98,23
17:30:31,96,23
17:30:32,99,16
17:30:33,98,20
17:30:34,99,17
17:30:35,99,24
17:30:36,99,24
17:30:37,96,18
17:30:38,98,18
17:30:39,96,19
17:30:40,98,17
17:30:41,98,18
17:30:42,96,22
17:30:43,96,21
17:30:44,96,22
17:30:45,98,17
17:30:46,95,25
17:30:47,97,15
17:30:48,100,19
17:30:49,97,24
17:30:51,95,17
17:30:51,99,15
17:30:53,95,21
17:30:53,96,15
17:30:55,96,23
17:30:55,100,15
17:30:57,97,15
17:30:58,100,18
17:30:59,96,20
17:31:00,97,23
17:31:01,95,17
17:31:02,95,24
17:31:03,98,19
17:31:04,98,18
17:31:05,100,18
17:31:06,99,19
17:31:07,96,15
17:31:08,99,20
17:31:09,99,25
17:31:10,100,16
17:31:11,96,16
17:31:12,97,25
17:31:13,95,18
17:31:14,98,25
17:31:15,99,25
17:31:16,96,24
17:31:17,98,20
17:31:18,99,22
17:31:19,96,18
17:31:20,95,21
17:31:21,95,21
17:31:22,99,23
17:31:24,98,24
17:31:24,95,23
17:31:26,99,21
17:31:26,99,19
17:31:28,96,23
17:31:28,100,16
17:31:30,96,25
17:31:30,95,25
17:31:32,97,20
17:31:33,98,16
17:31:34,95,18
17:31:35,97,19
17:31:36,95,21
17:31:37,100,17
17:31:38,96,21
17:31:39,100,20
17:31:40,96,25
17:31:41,97,19
17:31:42,98,17
17:31:43,99,16
17:31:44,99,19
17:31:45,95,16
17:31:46,95,24
17:31:47,97,24
17:31:48,95,18
17:31:49,97,23
17:31:50,100,18
17:31:51,100,22
17:31:52,100,24
17:31:53,100,15
17:31:54,99,19
17:31:55,100,16
17:31:56,97,23
17:31:57,97,25
17:31:59,96,15
17:31:59,100,19
17:32:01,100,25
17:32:01,98,21
17:32:03,99,16
17:32:04,95,24
17:32:05,100,23
17:32:06,100,19
17:32:07,97,23
17:32:08,95,18
17:32:09,99,25
17:32:10,95,25
17:32:11,100,19
17:32:12,99,20
17:32:13,96,18
17:32:14,100,19
17:32:15,99,20
17:32:16,95,25
17:32:17,99,24
17:32:18,98,23
17:32:19,97,25
17:32:20,96,16
17:32:21,95,25
17:32:22,99,17
17:32:23,99,17
17:32:24,99,18
17:32:26,98,15
17:32:26,96,16
17:32:28,97,25
17:32:28,97,17
17:32:30,95,18
17:32:30,99,23
17:32:32,98,18
17:32:32,96,15
17:32:34,96,21
17:32:34,96,18
17:32:36,96,24
17:32:37,96,24
17:32:38,96,24
17:32:39,99,18
17:32:40,99,24
17:32:41,98,16
17:32:42,99,23
17:32:43,96,21
17:32:44,100,22
17:32:45,97,19
17:32:46,98,25
17:32:47,96,23
17:32:48,95,23
17:32:49,99,25
17:32:50,97,17
17:32:51,100,25
17:32:52,99,24
17:32:53,96,22
17:32:54,97,18
17:32:55,99,15
17:32:56,100,23
17:32:57,95,15
17:32:59,96,25
17:32:59,96,18
17:33:01,99,17
17:33:01,96,17
17:33:03,96,18
17:33:03,98,23
17:33:05,96,15
17:33:05,95,22
17:33:07,95,21
17:33:07,98,25
17:33:09,100,17
17:33:09,100,19
17:33:11,97,24
17:33:12,99,25
17:33:13,97,17
17:33:14,96,21
17:33:15,96,24
17:33:16,98,23
17:33:17,99,25
17:33:18,97,17
17:33:19,100,16
17:33:20,98,17
17:33:21,99,16
17:33:22,100,21
17:33:23,96,15
17:33:24,98,15
17:33:25,97,24
17:33:26,98,16
17:33:27,95,20
17:33:28,95,20
17:33:29,99,24
17:33:30,96,21
17:33:31,96,16
17:33:32,96,17
17:33:34,96,23
17:33:34,96,18
17:33:36,95,19
17:33:36,99,20
17:33:38,96,20
17:33:38,96,22
17:33:40,95,22
17:33:40,98,24
17:33:42,99,23
17:33:42,99,15
17:33:44,95,21
17:33:44,97,21
17:33:46,99,24
17:33:47,99,19
17:33:48,96,25
17:33:49,100,20
17:33:50,96,24
17:33:51,98,19
17:33:52,98,23
17:33:53,100,24
17:33:54,98,19
17:33:55,98,19
17:33:56,95,18
17:33:57,97,17
17:33:58,100,15
17:33:59,96,20
17:34:00,97,21
17:34:01,98,16
17:34:02,97,24
17:34:03,97,24
17:34:05,96,17
17:34:05,96,20
17:34:07,96,18
17:34:07,100,24
17:34:09,98,15
17:34:09,98,22
17:34:11,98,17
17:34:11,98,24
17:34:13,95,25
17:34:13,97,15
17:34:15,98,18
17:34:15,95,20
17:34:17,96,25
17:34:17,95,25
17:34:19,95,16
17:34:19,97,15
17:34:21,97,18
17:34:22,96,19
17:34:23,95,22
17:34:24,98,18
17:34:25,100,21
17:34:26,100,20
17:34:27,97,16
17:34:28,96,24
17:34:29,100,25
17:34:30,99,15
17:34:31,98,21
17:34:32,100,15
17:34:33,99,21
17:34:34,96,24
17:34:35,99,22
17:34:36,96,16
17:34:38,97,18
17:34:38,100,24
17:34:40,100,22
17:34:40,98,17
17:34:42,97,25
17:34:42,95,23
17:34:44,97,17
17:34:44,98,23
17:34:46,96,17
17:34:46,95,19
17:34:48,95,16
17:34:48,98,17
17:34:50,97,17
17:34:50,100,18
17:34:52,100,20
17:34:52,100,15
17:34:54,100,20
17:34:54,95,24
17:34:56,98,22
17:34:56,96,16
17:34:58,96,24
17:34:59,99,24
17:35:00,97,21
17:35:01,96,23
17:35:02,96,19
17:35:03,95,15
17:35:04,97,20
17:35:05,96,25
17:35:06,97,17
17:35:07,100,23
17:35:08,97,25
17:35:09,100,25
17:35:10,96,25
17:35:11,100,15
17:35:45,96,18
17:35:45,100,19
17:35:47,99,17
17:35:47,95,20
17:35:49,96,24
17:35:49,97,18
17:35:51,96,19
17:35:52,96,20
17:35:53,96,25
17:35:54,100,21
17:35:55,98,16
17:35:56,97,20
17:35:57,100,16
17:35:58,97,18
17:36:00,97,17
17:36:00,96,23
17:36:02,97,20
17:36:02,99,21
17:36:04,95,20
17:36:04,96,22
17:36:06,97,25
17:36:06,95,23
17:36:08,97,17
17:36:08,100,17
17:36:10,98,16
17:36:10,95,18
17:36:12,96,21
17:36:12,96,22
17:36:14,95,25
17:36:14,96,21
17:36:16,100,22
17:36:16,95,17
17:36:18,97,15
17:36:18,96,19
17:36:20,97,15
17:36:20,95,15
17:36:22,99,17
17:36:22,99,24
17:36:24,98,21
17:36:24,98,24
17:36:26,97,25
17:36:26,95,22
17:36:28,96,22
17:36:28,95,24
17:36:30,100,19
17:36:30,97,24
17:36:32,97,15
17:36:32,98,18
17:36:34,97,15
17:36:34,95,16
17:36:36,99,16
17:36:36,100,23
17:36:38,99,20
17:36:38,95,25
17:36:40,97,15
17:36:40,97,18
17:36:42,95,17
17:36:43,96,18
17:36:44,97,17
17:36:45,99,24
17:36:47,100,23
17:36:47,96,20
17:36:49,97,21
17:36:49,97,23
17:36:51,95,25
17:36:51,97,21
17:36:53,97,21
17:36:53,95,20
17:36:55,95,23
17:36:55,95,22
17:36:57,99,17
17:36:57,96,25
17:36:59,98,24
17:36:59,100,22
17:37:01,98,20
17:37:01,95,16
17:37:03,99,15
17:37:03,96,21
17:37:05,97,21
17:37:05,98,25
17:37:07,95,20
17:37:07,99,18
17:37:09,95,21
17:37:09,100,24
17:37:11,100,21
17:37:11,98,23
17:37:13,100,22
17:37:13,95,16
17:37:15,97,25
17:37:15,95,25
17:37:17,97,16
17:37:18,97,21
17:37:19,99,21
17:37:20,98,16
17:37:22,97,15
17:37:22,95,17
17:37:24,100,22
21:52:25,136.0,22.7,101.5,99.9
21:52:26,144.0,22.7,101.5,99.9
21:52:27,136.0,22.7,101.4,99.9
21:52:28,144.0,22.7,101.4,99.9
21:52:30,144.0,22.7,101.5,99.9
21:52:31,144.0,22.7,101.3,99.9
21:52:32,136.0,22.7,101.3,99.9
21:52:34,144.0,22.7,101.2,99.9
21:52:35,128.0,22.7,101.3,99.9
21:52:36,136.0,22.7,101.3,99.9
21:52:38,136.0,22.7,101.3,99.9
21:52:40,144.0,22.7,101.3,99.9
21:52:42,144.0,22.7,101.2,99.9
21:52:43,136.0,22.7,101.2,99.9
21:52:44,136.0,22.7,101.2,99.9
21:52:47,144.0,22.7,101.3,99.9
21:52:48,136.0,22.7,101.4,99.9
21:52:49,144.0,22.7,101.4,99.9
21:52:52,144.0,22.7,101.2,99.9
21:52:53,144.0,22.7,101.2,99.9
21:52:55,136.0,22.7,101.2,99.9
21:52:56,144.0,22.7,101.3,99.9
21:52:57,144.0,22.7,101.3,99.9
21:52:59,136.0,22.7,101.3,99.9
21:53:00,144.0,22.7,101.2,99.9
21:53:01,128.0,22.7,101.2,99.9
21:53:02,136.0,22.7,101.5,99.9
21:53:04,144.0,22.6,101.7,99.9
21:53:05,136.0,22.6,101.6,99.9
21:53:08,144.0,22.6,101.6,99.9
21:53:09,128.0,22.6,101.7,99.9
21:53:10,136.0,22.6,101.7,99.9
21:53:12,136.0,22.6,101.7,99.9
21:53:13,144.0,22.6,101.7,99.9
21:53:14,136.0,22.6,101.6,99.9
21:53:15,136.0,22.6,101.6,99.9
21:53:17,136.0,22.6,101.7,99.9
21:53:21,136.0,22.6,101.2,99.9
21:53:22,136.0,22.6,101.2,99.9
21:53:23,144.0,22.5,101.6,99.9
21:53:25,136.0,22.5,101.6,99.9
21:54:25,136.0,22.3,101.7,99.9
21:56:26,144.0,21.7,101.5,99.9
21:57:26,144.0,21.5,101.3,99.9
21:58:26,144.0,21.3,101.3,99.9
22:04:54,136.0,21.5,101.2,100.0
22:04:57,144.0,21.5,101.2,99.9
22:04:58,144.0,21.5,101.2,99.9
22:04:59,136.0,21.5,101.2,100.0
22:05:02,144.0,21.6,101.3,99.9
22:05:04,136.0,21.6,101.2,99.9
22:05:05,136.0,21.6,101.1,100.0
22:05:06,136.0,21.6,101.1,100.0
22:05:08,128.0,21.6,101.3,99.9
22:05:09,144.0,21.5,101.2,99.9
22:05:10,144.0,21.6,101.0,100.0
22:05:12,144.0,21.6,100.9,99.9
22:05:13,144.0,21.6,101.1,99.9
22:05:15,136.0,21.6,101.0,99.9
22:05:16,136.0,21.6,101.2,99.9
22:05:18,136.0,21.6,101.1,99.9
22:05:19,136.0,21.7,101.1,99.9
22:05:20,144.0,21.7,101.1,99.9
22:05:22,144.0,21.7,101.3,99.9
22:05:25,128.0,21.7,101.2,99.9
22:05:26,136.0,21.7,101.1,99.9
22:05:27,144.0,21.7,101.1,99.9
22:05:30,136.0,21.7,101.1,99.9
22:05:31,128.0,21.7,101.1,99.9
22:05:33,144.0,21.8,101.0,100.0
22:05:34,136.0,21.8,100.9,100.0
22:05:36,144.0,21.8,101.1,100.0
22:05:37,136.0,21.8,101.0,100.0
22:05:39,136.0,21.8,100.9,100.0
22:05:40,144.0,21.8,101.2,100.0
22:05:42,136.0,21.8,101.1,100.0
22:05:43,144.0,21.8,101.1,99.9
22:05:47,144.0,21.7,101.2,99.9
22:05:49,144.0,21.8,101.3,100.0
22:05:51,136.0,21.7,101.2,100.0
22:05:53,136.0,21.8,101.2,99.9
22:05:54,136.0,21.8,101.0,99.9
22:06:55,136.0,22.0,101.2,99.9
22:07:55,144.0,22.2,101.4,99.9
22:08:56,144.0,22.4,101.4,99.9
22:09:56,144.0,22.5,101.6,99.9
22:10:57,136.0,22.7,101.5,99.9
22:12:57,136.0,22.6,101.1,99.9
22:13:31,136.0,22.5,101.5,99.9
22:13:32,144.0,22.5,101.4,99.9
22:13:34,136.0,22.5,101.5,99.9
22:13:37,136.0,22.5,101.5,99.9
22:13:38,136.0,22.5,101.5,99.9
22:13:39,136.0,22.4,101.6,99.9
22:13:42,136.0,22.4,101.5,99.9
22:13:43,136.0,22.4,101.5,99.9
22:13:45,136.0,22.4,101.4,99.9
22:13:46,144.0,22.4,101.4,99.9
22:13:48,136.0,22.4,101.3,99.9
22:13:49,136.0,22.4,101.2,99.9
22:13:50,144.0,22.4,101.1,99.9
22:13:52,144.0,22.4,101.1,99.9
22:13:53,144.0,22.4,101.5,99.9
22:13:55,136.0,22.4,101.7,99.9
22:13:56,144.0,22.4,101.6,99.9
22:13:57,136.0,22.4,101.6,99.9
22:13:59,128.0,22.4,101.7,99.9
22:14:00,144.0,22.4,101.7,99.9
22:14:02,136.0,22.4,101.6,99.9
22:14:04,144.0,22.3,101.5,99.9
22:14:06,144.0,22.3,101.7,99.9
22:14:07,136.0,22.3,101.6,99.9
22:14:11,136.0,22.3,101.5,99.9
22:14:13,136.0,22.3,101.6,99.9
22:14:15,144.0,22.3,101.5,99.9
22:14:17,136.0,22.3,101.5,99.9
22:14:18,144.0,22.3,101.6,99.9
22:14:20,136.0,22.3,101.6,99.9
22:14:21,144.0,22.3,101.6,99.9
22:14:23,136.0,22.3,101.6,99.9
22:14:24,136.0,22.3,101.6,99.9
22:14:25,136.0,22.3,101.6,99.9
22:14:27,136.0,22.2,101.5,99.9
22:14:28,136.0,22.2,101.5,99.9
22:14:30,136.0,22.2,101.6,99.9
22:14:31,136.0,22.2,101.7,99.9
22:17:32,136.0,21.5,101.8,99.9
22:18:33,128.0,21.2,101.9,99.9
22:19:33,128.0,21.0,101.7,99.9
22:20:34,136.0,20.8,101.5,99.9
22:21:34,128.0,20.7,101.5,99.9
22:22:35,128.0,20.8,101.5,99.9
22:25:16,144.0,21.6,101.6,99.9
22:25:17,136.0,21.6,101.6,99.9
22:25:19,136.0,21.7,101.7,99.9
22:25:20,144.0,21.7,101.6,99.9
22:25:22,136.0,21.7,101.6,99.9
22:25:24,136.0,21.7,101.7,99.9
22:25:26,136.0,21.8,101.6,99.9
22:25:27,144.0,21.8,101.7,99.9
22:25:31,136.0,21.8,101.6,99.9
22:25:32,144.0,21.7,101.6,99.9
22:25:34,136.0,21.7,101.6,99.9
22:25:35,136.0,21.7,101.5,99.9
22:25:37,136.0,21.7,101.7,99.9
22:25:38,136.0,21.7,101.6,99.9
22:25:39,144.0,21.7,101.6,99.9
22:25:41,136.0,21.7,101.6,99.9
22:25:42,136.0,21.7,101.7,99.9
22:25:44,136.0,21.7,101.7,99.9
22:25:48,136.0,21.8,101.7,99.9
22:25:49,144.0,21.8,101.7,99.9
22:25:53,136.0,21.8,101.6,99.9
22:25:54,136.0,21.8,101.7,99.9
22:25:56,136.0,21.9,101.6,99.9
22:25:57,136.0,21.9,101.5,99.9
22:25:59,136.0,21.9,101.6,99.9
22:26:00,136.0,21.9,101.7,99.9
22:26:02,136.0,21.9,101.7,99.9
22:26:03,136.0,21.9,101.7,99.9
22:26:04,136.0,21.9,101.7,99.9
22:26:06,144.0,21.9,101.7,99.9
22:26:07,144.0,21.9,101.7,99.9
22:26:09,136.0,21.8,101.7,99.9
22:26:10,136.0,21.8,101.7,99.9
22:26:12,128.0,21.8,101.7,99.9
22:26:13,136.0,21.8,101.6,99.9
22:26:15,136.0,21.9,101.6,99.9
22:26:16,136.0,21.9,101.6,99.9
22:27:17,144.0,22.1,101.7,99.9
22:28:17,128.0,22.4,101.7,99.9
22:29:17,136.0,22.6,101.8,99.9
22:29:28,136.0,22.6,101.9,99.9
22:29:30,144.0,22.6,101.8,99.9
22:29:31,136.0,22.6,101.9,99.9
22:29:35,136.0,22.7,101.8,99.9
22:29:36,136.0,22.7,101.8,99.9
22:29:39,144.0,22.7,101.8,99.9
22:29:41,128.0,22.6,101.9,99.9
22:29:42,144.0,22.6,101.8,99.9
22:29:43,136.0,22.6,101.9,99.9
22:29:45,136.0,22.6,101.8,99.9
22:29:46,136.0,22.6,101.9,99.9
22:29:48,128.0,22.6,101.9,99.9
22:29:49,136.0,22.6,101.9,99.9
22:29:50,136.0,22.6,101.8,99.9
22:29:52,136.0,22.6,101.8,99.9
22:29:53,136.0,22.6,101.9,99.9
22:29:55,144.0,22.6,101.8,99.9
22:29:56,144.0,22.6,101.8,99.9
22:29:57,144.0,22.6,101.7,99.9
22:29:59,136.0,22.6,101.8,99.9
22:30:02,136.0,22.6,101.7,99.9
22:30:03,144.0,22.6,101.8,99.9
22:30:04,136.0,22.6,101.7,99.9
22:30:07,144.0,22.6,101.7,99.9
22:30:08,144.0,22.6,101.8,99.9
22:30:10,136.0,22.7,101.7,99.9
22:30:11,136.0,22.7,101.6,99.9
22:30:13,136.0,22.7,101.6,99.9
22:30:14,136.0,22.7,101.7,99.9
22:30:16,144.0,22.7,101.7,99.9
22:30:17,136.0,22.7,101.7,99.9
22:30:19,136.0,22.7,101.7,99.9
22:30:20,144.0,22.7,101.6,99.9
22:30:24,136.0,22.7,101.6,99.9
22:30:25,136.0,22.7,101.5,99.9
22:30:27,136.0,22.7,101.5,99.9
22:30:28,136.0,22.7,101.5,99.9
22:32:29,136.0,22.7,101.8,99.9
22:33:30,152.0,22.5,101.4,99.9
22:34:30,144.0,22.2,101.3,99.9
22:35:31,144.0,21.9,101.3,99.9
22:36:31,144.0,21.7,101.3,99.9
22:37:32,144.0,21.5,101.2,99.9
22:38:32,152.0,21.3,101.2,99.9
22:39:33,144.0,21.1,101.3,99.9
22:40:33,144.0,20.9,101.3,99.9
22:41:33,136.0,20.8,101.4,99.9
22:42:34,136.0,20.9,101.7,100.0
22:43:34,136.0,21.1,101.8,99.9
22:44:35,144.0,21.4,101.8,99.9
22:50:15,144.0,22.7,101.5,99.9
22:50:16,144.0,22.7,101.5,99.9
22:50:19,144.0,22.7,101.6,99.9
22:50:20,136.0,22.7,101.6,99.9
22:50:22,144.0,22.6,101.7,99.9
22:50:26,144.0,22.7,101.8,99.9
22:50:27,136.0,22.7,101.7,99.9
22:50:29,136.0,22.7,101.7,99.9
22:50:30,136.0,22.7,101.7,99.9
22:50:31,144.0,22.7,101.7,99.9
22:50:33,136.0,22.7,101.7,99.9
22:50:34,128.0,22.7,101.7,99.9
22:50:36,136.0,22.7,101.6,99.9
22:50:37,144.0,22.7,101.7,99.9
